round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.0,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.01,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.06,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.06,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.06,lever_out,lever_out,,,ID:speaker|,1
1,tone_start_pellet_tone,2.02,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,tone_stop_pellet_tone,3.03,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,pellet_dispense_dispenser,3.56,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,1
1,lever_retracted_food,4.12,ITI,ITI,,,ID:food|,1
2,new_round,60.14,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,60.15,lever_out,lever_out,,,ID:speaker|,2
2,output_activated,60.16,lever_out,lever_out,,,ID:round_LED|,2
2,lever_extended_food,60.21,lever_out,lever_out,,,ID:food|,2
2,output_deactivated,60.66,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,61.17,lever_out,lever_out,,,ID:speaker|,2
2,pellet_not_retrieved_dispenser,62.14,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,2
2,pellet_skipped_dispenser,62.14,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,2
2,tone_start_pellet_tone,62.18,lever_out_pt2,lever_out_pt2,,,ID:speaker|,2
2,tone_stop_pellet_tone,63.18,lever_out_pt2,lever_out_pt2,,,ID:speaker|,2
2,lever_retracted_food,64.25,ITI,ITI,,,ID:food|,2
3,new_round,120.28,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,120.29,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,120.32,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,120.34,lever_out,lever_out,,,ID:food|,3
3,output_deactivated,120.79,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,121.33,lever_out,lever_out,,,ID:speaker|,3
3,pellet_not_retrieved_dispenser,122.29,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,3
3,pellet_skipped_dispenser,122.29,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,3
3,tone_start_pellet_tone,122.29,lever_out_pt2,lever_out_pt2,,,ID:speaker|,3
3,tone_stop_pellet_tone,123.3,lever_out_pt2,lever_out_pt2,,,ID:speaker|,3
3,lever_retracted_food,124.4,ITI,ITI,,,ID:food|,3
3,pellet_retrieved,142.84,lever_out_pt2,ITI,139.28,,,1
3,pellet_retrieved,142.84,ITI,ITI,,,ID:event_LED|,3
3,output_activated,142.84,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,143.19,ITI,ITI,,,ID:event_LED|,3
4,new_round,180.42,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,180.42,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,180.42,lever_out,lever_out,,,ID:speaker|,4
4,lever_extended_food,180.47,lever_out,lever_out,,,ID:food|,4
4,output_deactivated,180.92,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,181.44,lever_out,lever_out,,,ID:speaker|,4
4,tone_start_pellet_tone,182.46,lever_out_pt2,lever_out_pt2,,,ID:speaker|,4
4,pellet_dispense_dispenser,183.43,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,4
4,tone_stop_pellet_tone,183.47,lever_out_pt2,lever_out_pt2,,,ID:speaker|,4
4,lever_retracted_food,184.53,ITI,ITI,,,ID:food|,4
4,pellet_retrieved,236.03,lever_out_pt2,ITI,52.59,,,4
4,pellet_retrieved,236.03,ITI,ITI,,,ID:event_LED|,4
4,output_activated,236.03,ITI,ITI,,,ID:event_LED|,4
4,output_deactivated,236.38,ITI,ITI,,,ID:event_LED|,4
5,new_round,240.55,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,240.56,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,240.57,lever_out,lever_out,,,ID:speaker|,5
5,lever_extended_food,240.61,lever_out,lever_out,,,ID:food|,5
5,output_deactivated,241.06,lever_out,lever_out,,,ID:round_LED|,5
5,tone_stop_round_start,241.58,lever_out,lever_out,,,ID:speaker|,5
5,tone_start_pellet_tone,242.6,lever_out_pt2,lever_out_pt2,,,ID:speaker|,5
